id,common_name,scientific_name,description
1,Bengal Tiger,Panthera tigris tigris,Field observers logged an adult Bengal Tiger leaving fresh pugmarks near the water's edge near a canal running through fields just after sunrise. It was observed through binoculars from a considerable distance. The sighting took place as summer temperatures rose.
2,Bengal Tiger,Panthera tigris tigris,"The Bengal Tiger was observed close to a tea garden boundary around midday, under a hazy monsoon sky. The animal passed within a few meters of the parked vehicle."
3,Bengal Tiger,Panthera tigris tigris,"A citizen-science volunteer photographed a large striped predator close to a tea garden boundary, on a cool, breezy evening. It was observed through binoculars from a considerable distance."
4,Bengal Tiger,Panthera tigris tigris,"A Bengal Tiger was observed beside a dirt road through farmland well after nightfall, under overcast skies. The animal passed within a few meters of the parked vehicle."
5,Bengal Tiger,Panthera tigris tigris,Field observers logged a solitary Bengal Tiger leaving fresh pugmarks near the water's edge along a narrow forest track in the early morning haze. The animal passed within a few meters of the parked vehicle.
6,Bengal Tiger,Panthera tigris tigris,"Local residents reported a lone Bengal Tiger stalking low through tall grass before disappearing into cover close to a lakeside reed bed in the late afternoon light, under overcast skies. The animal passed within a few meters of the parked vehicle."
7,Bengal Tiger,Panthera tigris tigris,Local residents reported a solitary Bengal Tiger resting on a rocky ledge overlooking the valley along a rocky hillside trail in the cool hours before dawn. It was noticed only briefly before vanishing into cover.
8,Bengal Tiger,Panthera tigris tigris,"During a routine survey, a Bengal Tiger was recorded at the base of a rocky outcrop during the heat of midday."
9,Bengal Tiger,Panthera tigris tigris,"A large striped animal was observed close to a tea garden boundary around midday, on a warm, humid afternoon. It was observed through binoculars from a considerable distance."
10,Bengal Tiger,Panthera tigris tigris,"A big cat with orange and black stripes was spotted close to a forest checkpoint just before sunset, under overcast skies. It was noticed only briefly before vanishing into cover. The sighting took place at the start of the monsoon."
11,Indian Leopard,Panthera pardus fusca,"A lean spotted predator was observed close to a forest checkpoint at dusk as shadows lengthened, on a warm, humid afternoon."
12,Indian Leopard,Panthera pardus fusca,"The Indian Leopard was briefly sighted near an irrigation tank before moving with a slow, deliberate gait along the treeline. It was seen from a safe distance of roughly fifty meters."
13,Indian Leopard,Panthera pardus fusca,"A citizen-science volunteer photographed a solitary Indian Leopard near a cluster of banyan trees, as fog still clung to the ground. The animal passed within a few meters of the parked vehicle."
