query,faiss_latency,chroma_latency
A large striped predator seen near a forest at dusk,0.0032561999978497624,0.010204500002146233
A herd of large grey animals crossing a village road,0.00011810000069090165,0.0029102000007696915
A colorful bird with a long tail near farmland,0.00011079999967478216,0.003989300003013341
A wild cat moving through dense vegetation,0.00010990000009769574,0.0027579999987210613
A nocturnal animal searching for food near a village,0.0001021999996737577,0.003959800000302494
A large herbivore drinking near a water source,0.00028369999927235767,0.0027527999991434626
A small wild animal spotted in agricultural fields,0.00010990000009769574,0.0028025999999954365
A snake observed near rocks and vegetation,0.0001109000004362315,0.0031845000012253877
A group of monkeys near trees,0.00012150000111432746,0.004869200001849094
Panthera tigris tigris observed near woodland,0.00011129999984405003,0.0036211000006005634
